Date,Nb_Cas_Cumulatif,Nb_Nvx_Cas,Nb_Deces_Cumulatif_Total,Nb_Nvx_Deces_Total
Date inconnue,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,1,0,0
2020-03-07,1,0,0,0
2020-03-08,1,0,0,0
2020-03-09,1,0,0,0
2020-03-10,1,0,0,0
2020-03-11,3,2,0,0
2020-03-12,5,2,0,0
2020-03-13,6,1,0,0
2020-03-14,7,1,1,1
2020-03-15,9,2,1,0
2020-03-16,14,5,1,0
2020-03-17,18,4,2,1
2020-03-18,26,8,3,1
2020-03-19,74,48,3,0
2020-03-20,149,75,4,1
2020-03-21,288,139,5,1
2020-03-22,459,171,6,1
2020-03-23,717,258,7,1
2020-03-24,937,220,10,3
2020-03-25,1186,249,18,8
2020-03-26,1530,344,24,6
2020-03-27,1963,433,27,3
2020-03-28,2368,405,41,14
2020-03-29,2868,500,51,10
2020-03-30,3471,603,65,14
2020-03-31,4224,753,80,15
2020-04-01,4798,574,94,14
2020-04-02,5513,715,111,17
2020-04-03,6126,613,140,29
2020-04-04,6749,623,188,48
2020-04-05,7255,506,226,38
